Time(ms),ENV_Value,Marker
93600,6.6,
93700,6.7,
93800,5.5,
93900,4.9,
94000,5.4,
94100,4.2,
94200,5.6,
94400,5.3,
94500,115.5,
94600,121.5,
94700,111.3,
94800,90.2,
94900,78.7,
95000,90.8,
95100,13.4,
95200,6.6,
95300,5.7,
95400,6.4,
95500,5.1,
95600,5.4,
95700,5.0,
95800,5.0,
95900,5.0,
96000,5.7,
96100,98.0,
96200,81.4,
96300,111.4,
96400,111.6,
96500,89.6,
96600,75.7,
96700,15.4,
96800,6.4,
96900,6.7,
97000,5.7,
97100,5.0,
97200,5.3,
97400,5.8,
97500,5.1,
97600,5.3,
97700,126.6,
97800,101.5,
97900,85.0,
98000,112.9,
98100,109.6,
98200,96.1,
98400,5.9,
98500,6.5,
98600,7.6,
98700,5.1,
98800,5.9,
98900,5.8,
99000,5.7,
99100,5.5,
99200,5.9,
99300,122.4,
99400,124.8,
99500,116.2,
99600,91.7,
99700,80.8,
99800,89.5,
99900,21.1,
100000,7.4,
100100,8.3,
100200,5.7,
100300,6.1,
100400,5.6,
100500,5.5,
100600,5.8,
100700,5.1,
100800,5.3,
100900,94.4,
101000,85.4,
101100,115.2,
101200,116.5,
101300,94.3,
101400,75.9,
101500,27.8,
101600,5.7,
101700,4.4,
101800,6.9,
101900,4.9,
102000,4.6,
102100,4.8,
102200,5.0,
102400,5.6,
102500,123.5,
102600,105.1,
102700,80.9,
102800,103.2,
102900,103.2,
103000,91.7,
103100,33.5,
103200,6.6,
103300,7.2,
103400,6.0,
103500,4.9,
103600,5.0,
103700,5.5,
103800,6.4,
103900,5.2,
104000,5.4,
104100,107.2,
104200,123.8,
104400,87.8,
104500,84.9,
104600,100.0,
104700,43.8,
104800,8.8,
104900,6.3,
105000,7.2,
105100,6.4,
105200,5.7,
105400,6.2,
105500,5.6,
105600,4.9,
105700,70.1,
105800,109.3,
105900,118.3,
106000,117.9,
106100,97.8,
106200,85.2,
106400,8.4,
106500,6.7,
106600,5.7,
106700,4.4,
106800,3.2,
106900,4.6,
107000,4.5,
107100,4.1,
107200,4.6,
107300,78.9,
107400,104.3,
107500,91.1,
107600,109.6,
107700,119.9,
107800,97.7,
107900,76.2,
108000,8.8,
108100,5.8,
108200,4.8,
108300,4.3,
108400,4.9,
108500,3.7,
108600,4.2,
108700,5.1,
108800,4.5,
108900,54.7,
109000,146.4,
109100,121.0,
109200,91.6,
109300,100.6,
109400,112.9,
109500,103.3,
109600,12.7,
109700,5.1,
109800,5.1,
109900,5.9,
110000,4.5,
110100,4.8,
110200,4.6,
110300,3.6,
110400,4.0,
110500,5.0,
110600,110.0,
110700,127.7,
110800,115.1,
110900,94.9,
111000,82.6,
111100,98.1,
111200,11.7,
111300,11.6,
111400,6.5,
111500,6.0,
111600,4.7,
111700,4.5,
111800,3.8,
111900,4.8,
112000,3.7,
112100,4.3,
112200,114.0,
112400,113.6,
112500,119.4,
112600,96.4,
112700,81.0,
112800,13.8,
112900,5.9,
113000,5.7,
113100,5.0,
113200,4.8,
113300,3.9,
113400,4.1,
113500,4.5,
113600,4.4,
113700,5.0,
113800,131.5,
113900,107.9,
114000,88.4,
114100,108.0,
114200,107.9,
114400,17.6,
114500,4.7,
114600,4.8,
114700,5.5,
114800,4.0,
114900,3.9,
115000,4.6,
115100,3.2,
115200,4.1,
115300,4.6,
115400,125.7,
115500,134.4,
115600,115.0,
115700,94.4,
115800,76.3,
115900,90.8,
116000,20.2,
116100,6.6,
116200,6.5,
116300,4.2,
116400,6.6,
116500,3.9,
116600,4.3,
116700,4.3,
116800,4.2,
116900,3.7,
117000,99.2,
117100,88.9,
117200,115.3,
117400,96.2,
117500,75.2,
117600,28.3,
117700,5.8,
117800,4.5,
117900,4.5,
118000,5.1,
118100,3.9,
118200,4.9,
118400,5.2,
118500,4.3,
118600,132.5,
118700,122.4,
118800,91.2,
118900,111.5,
119000,108.1,
119100,96.0,
119200,36.9,
119300,6.0,
119400,6.6,
119500,5.6,
119600,4.2,
119700,4.0,
119800,4.3,
119900,3.9,
120000,4.5,
120100,4.5,
120200,107.5,
120300,133.1,
120400,117.2,
120500,91.5,
120600,88.6,
120700,106.3,
120800,48.4,
120900,6.6,
121000,5.1,
121100,5.4,
121200,4.7,
121300,4.0,
121400,3.7,
121500,4.8,
121600,4.1,
121700,3.7,
121800,75.9,
121900,116.6,
122000,126.1,
122100,118.5,
122200,93.0,
122400,61.1,
122500,7.0,
122600,4.7,
122700,6.5,
122800,4.3,
122900,4.5,
123000,4.7,
123100,4.6,
123200,4.5,
123300,3.5,
123400,91.3,
123500,144.5,
123600,99.0,
123700,113.7,
123800,111.9,
123900,95.0,
124000,74.1,
124100,7.8,
124200,5.3,
124300,6.7,
124400,4.3,
124500,5.4,
124600,5.2,
124700,4.8,
124800,5.7,
124900,5.3,
125000,57.4,
125100,174.5,
125200,129.0,
125300,94.8,
125400,97.8,
125500,109.9,
125600,101.0,
125700,11.2,
125800,6.0,
125900,6.0,
126000,6.1,
126100,5.0,
126200,6.1,
126400,5.2,
126500,5.9,
126600,6.3,
126700,121.4,
126800,134.3,
126900,120.1,
127000,101.6,
127100,83.2,
127200,97.0,
127400,6.1,
127500,6.1,
127600,6.2,
127700,4.9,
127800,6.1,
127900,4.7,
128000,5.0,
128100,6.1,
128200,4.3,
128300,133.3,
128400,92.4,
128500,114.1,
128600,110.7,
128700,91.4,
128800,71.6,
128900,13.4,
129000,7.2,
129100,5.5,
129200,5.5,
129300,6.5,
129400,4.9,
129500,4.6,
129600,5.5,
129700,4.0,
129800,4.6,
129900,163.9,
130000,132.4,
130100,92.7,
130200,112.7,
130400,102.2,
130500,18.2,
130600,4.6,
130700,6.4,
130800,5.6,
130900,6.5,
131000,5.2,
131100,5.9,
131200,4.2,
131400,5.6,
131500,122.0,
131600,127.1,
131700,117.9,
131800,101.6,
131900,86.7,
