Time(ms),ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
24900,9.4,11.2,82.0,0.0,0.0,0.0,
24900,9.4,11.2,82.0,0.0,0.0,0.0,
25000,16.1,13.0,105.5,0.0,0.0,0.0,
25000,16.1,13.0,105.5,0.0,0.0,0.0,
25100,27.3,15.9,66.4,0.0,0.0,0.0,
25100,27.3,15.9,66.4,0.0,0.0,0.0,
25200,23.7,18.4,50.8,0.0,0.0,0.0,
25200,23.7,18.4,50.8,0.0,0.0,0.0,
25300,22.9,20.2,58.6,0.0,0.0,0.0,
25300,22.9,20.2,58.6,0.0,0.0,0.0,
25400,20.2,21.4,78.1,0.0,0.0,0.0,
25400,20.2,21.4,78.1,0.0,0.0,0.0,
25500,15.4,22.7,74.2,0.0,0.0,0.0,
25500,15.4,22.7,74.2,0.0,0.0,0.0,
25600,9.2,23.0,78.1,0.0,0.0,0.0,
25600,9.2,23.0,78.1,0.0,0.0,0.0,
25700,2.9,23.0,50.8,0.0,0.0,0.0,
25700,2.9,23.0,50.8,0.0,0.0,0.0,
25900,3.2,21.1,85.9,0.0,0.0,0.0,
25900,3.2,21.1,85.9,0.0,0.0,0.0,
26000,2.4,20.0,97.7,0.0,0.0,0.0,
26000,2.4,20.0,97.7,0.0,0.0,0.0,
26100,3.3,17.6,85.9,0.0,0.0,0.0,
26100,3.3,17.6,85.9,0.0,0.0,0.0,
26200,2.5,15.0,101.6,0.0,0.0,0.0,
26200,2.5,15.0,101.6,0.0,0.0,0.0,
26300,3.2,12.4,66.4,0.0,0.0,0.0,
26300,3.2,12.4,66.4,0.0,0.0,0.0,
26400,3.0,10.2,70.3,0.0,0.0,0.0,
26400,3.0,10.2,70.3,0.0,0.0,0.0,
26500,3.0,6.9,82.0,0.0,0.0,0.0,
26500,3.0,6.9,82.0,0.0,0.0,0.0,
26600,12.9,4.4,101.6,0.0,0.0,0.0,
26600,12.9,4.4,101.6,0.0,0.0,0.0,
26700,22.4,9.1,70.3,0.0,0.0,0.0,
26700,22.4,9.1,70.3,0.0,0.0,0.0,
26900,15.5,15.0,66.4,0.0,0.0,0.0,
26900,15.5,15.0,66.4,0.0,0.0,0.0,
27000,29.9,16.5,66.4,0.0,0.0,0.0,
27000,29.9,16.5,66.4,0.0,0.0,0.0,
27100,23.9,20.5,74.2,0.0,0.0,0.0,
27100,23.9,20.5,74.2,0.0,0.0,0.0,
27200,21.2,21.7,74.2,0.0,0.0,0.0,
27200,21.2,21.7,74.2,0.0,0.0,0.0,
