Time(ms),ENV_Value
93600,38.6
93700,38.6
93800,35.4
94000,20.8
94100,22.6
94200,24.2
94300,57.9
94400,55.5
94500,78.9
94600,58.9
94700,55.3
94800,52.8
94900,54.3
95000,35.0
95100,33.9
95200,34.6
95300,34.9
95400,35.1
95500,35.7
95600,35.9
95700,36.4
95800,36.8
96000,66.2
96100,69.5
96200,59.1
96300,111.8
96400,83.0
96500,96.5
96600,48.9
96700,42.3
96800,40.9
97000,39.4
97100,39.7
97200,39.2
97300,39.4
97400,39.6
97500,39.4
97600,112.0
97700,96.1
97800,89.0
98000,118.5
98100,98.4
98200,48.2
98300,43.0
98400,41.8
98500,41.8
98600,40.9
98700,41.3
98800,41.0
99000,39.7
99100,41.0
99200,88.5
99300,61.6
99400,94.7
99500,49.9
99600,47.7
99700,44.3
99800,43.6
99900,42.7
100000,42.0
100100,41.6
100200,41.0
100300,40.9
100400,40.4
100500,40.4
100600,41.2
100700,41.3
100800,48.7
100900,40.9
101000,52.0
101100,43.3
101200,56.4
101300,44.2
101400,44.6
101500,42.5
101600,41.9
101700,41.2
101800,41.3
101900,40.9
102000,41.1
102100,41.2
102200,41.0
102300,40.6
102400,42.6
102500,66.3
102600,58.1
102700,57.6
102800,66.6
103000,52.0
103100,43.1
103200,42.6
103300,42.4
103400,42.0
103500,41.5
103600,40.6
103700,41.1
103800,40.7
103900,40.8
104000,40.5
104100,83.4
104200,80.1
104300,94.4
104400,75.9
104500,90.9
104600,91.5
104700,56.8
104800,48.5
104900,46.0
105000,43.6
105100,43.6
105200,42.8
105300,42.2
105400,42.3
105500,42.3
105600,72.2
105700,103.1
105800,85.3
105900,116.5
106000,124.4
106100,175.3
106200,76.0
106300,54.8
106400,49.3
106500,46.6
106600,44.7
106700,43.7
106800,42.2
107000,42.0
107100,42.0
107200,67.6
107300,116.8
107400,130.9
107500,84.8
107600,67.1
107700,82.1
107800,52.3
107900,48.1
