Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
23501,1863.1,44.7,57.8,121.1,349.0,1817.0,14.0,
23601,1859.3,48.8,53.0,119.1,349.0,1817.0,14.0,
23801,1869.2,73.4,61.9,121.1,349.0,1817.0,14.0,
23901,1864.2,70.7,66.8,119.1,349.0,1817.0,14.0,
24001,1871.6,74.2,71.4,119.1,349.0,1817.0,14.0,
24101,1866.8,70.9,75.8,119.1,349.0,1817.0,14.0,
24201,1862.0,64.9,79.6,119.1,349.0,1817.0,14.0,
24301,1861.5,45.4,80.4,119.1,349.0,1817.0,14.0,
24401,1862.3,42.4,80.5,119.1,349.0,1817.0,14.0,
24501,1859.2,44.1,80.3,119.1,349.0,1817.0,14.0,
24601,1860.0,43.8,80.1,119.1,349.0,1817.0,14.0,
24801,1862.7,50.6,73.6,119.1,349.0,1817.0,14.0,
24901,1859.6,48.3,69.6,119.1,349.0,1817.0,14.0,
25001,1859.3,50.3,65.5,121.1,349.0,1817.0,14.0,
25101,1857.2,48.3,60.1,121.1,349.0,1817.0,14.0,
25201,1861.3,48.1,55.5,121.1,349.0,1817.0,14.0,
25301,1872.0,102.8,72.9,121.1,349.0,1817.0,14.0,
25401,1872.3,114.6,87.1,121.1,349.0,1817.0,14.0,
25501,1864.8,106.9,100.7,125.0,349.0,1817.0,14.0,
25601,1873.3,109.2,115.5,128.9,349.0,1817.0,14.0,
25801,1877.2,122.1,139.0,128.9,349.0,1817.0,14.0,
25901,1859.5,46.2,141.4,128.9,349.0,1817.0,14.0,
26001,1862.4,52.2,141.3,128.9,349.0,1817.0,14.0,
26101,1867.9,48.6,141.6,121.1,349.0,1817.0,14.0,
26201,1860.7,49.6,141.3,119.1,349.0,1817.0,14.0,
26301,1863.2,48.2,133.0,119.1,349.0,1817.0,14.0,
26401,1860.7,46.9,124.3,119.1,349.0,1817.0,14.0,
26501,1864.2,46.4,113.6,121.1,349.0,1817.0,14.0,
26601,1859.6,46.5,98.9,121.1,349.0,1817.0,14.0,
26801,1859.9,39.6,61.1,121.1,349.0,1817.0,14.0,
26901,1876.2,112.2,68.9,121.1,349.0,1817.0,14.0,
27001,1857.3,103.9,82.2,121.1,349.0,1817.0,14.0,
27101,1871.7,103.2,91.1,121.1,349.0,1817.0,14.0,
27201,1862.2,105.9,99.1,119.1,349.0,1817.0,14.0,
27301,1856.6,97.1,105.2,119.1,349.0,1817.0,14.0,
27401,1852.9,91.5,111.9,119.1,349.0,1817.0,14.0,
27501,1856.6,50.3,114.7,121.1,349.0,1817.0,14.0,
27601,1857.4,45.1,114.7,119.1,349.0,1817.0,14.0,
27801,1862.7,47.3,114.8,121.1,349.0,1817.0,14.0,
27901,1860.8,44.9,106.7,119.1,349.0,1817.0,14.0,
28001,1858.8,43.8,96.6,119.1,349.0,1817.0,14.0,
28101,1859.3,44.8,87.8,121.1,349.0,1817.0,14.0,
28201,1857.2,39.4,78.8,121.1,349.0,1817.0,14.0,
28301,1856.3,46.8,70.1,121.1,349.0,1817.0,14.0,
28401,1861.7,43.1,58.4,121.1,349.0,1817.0,14.0,
28501,1867.5,105.1,61.7,121.1,349.0,1817.0,14.0,
28601,1852.5,94.9,72.2,121.1,349.0,1817.0,14.0,
28801,1843.9,83.3,92.6,119.1,349.0,1817.0,14.0,
28901,1858.1,103.4,99.9,119.1,349.0,1817.0,14.0,
29001,1847.7,113.9,107.2,119.1,349.0,1817.0,14.0,
29101,1845.6,62.5,112.0,119.1,349.0,1817.0,14.0,
29201,1860.4,44.3,112.0,121.1,349.0,1817.0,14.0,
29301,1861.9,40.1,111.8,121.1,349.0,1817.0,14.0,
29401,1859.9,42.6,111.7,121.1,349.0,1817.0,14.0,
29501,1863.5,41.0,106.7,121.1,349.0,1817.0,14.0,
29601,1860.6,44.1,99.5,121.1,349.0,1817.0,14.0,
29801,1858.6,40.9,80.7,119.1,349.0,1817.0,14.0,
29901,1860.7,45.7,71.2,119.1,349.0,1817.0,14.0,
30001,1858.5,44.1,59.5,119.1,349.0,1817.0,14.0,
30101,1854.3,78.9,57.2,121.1,349.0,1817.0,14.0,
30201,1858.1,97.9,68.5,121.1,349.0,1817.0,14.0,
